V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1987	302020	302020	308153	308153	308153	308153	308153	308153	308153	308153	308153
1988	308153	308153	293612	293612	293612	293612	293612	293612	293612	293612	293612
1989	293612	293612	345961	345961	345961	345961	345961	345961	345961	345961	345961
1990	345961	345961	370737	370737	370737	370737	370737	370737	370737	370737	370737
1991	370737	370737	296324	296324	296324	296324	296324	296324	296324	296324	296324
1992	296324	296324	252948	252948	252948	252948	252948	252948	252948	252948	252948
1993	252948	252948	322873	322873	322873	322873	322873	322873	322873	322873	322873
1994	322873	322873	297154	297154	297154	297154	297154	297154	297154	297154	297154
1995	297154	297154	360690	360690	360690	360690	360690	360690	360690	360690	360690
1996	360690	360690	376225	376225	376225	376225	376225	376225	376225	376225	376225
1997	376225	376225	297826	297826	297826	297826	297826	297826	297826	297826	297826
1998	297826	297826	372761	372761	372761	372761	372761	372761	372761	372761	372761
1999	372761	372761	321483	321483	321483	321483	321483	321483	321483	321483	321483
 

Q_river_hist_seq_peace
	13	14	15	16	17	18	19	20	21	22	23	24
1940	765	348	217	265	296	322	1191	2156	3065	1285	601	630
1941	849	933	373	303	224	214	557	3081	2921	1210	704	364
1942	461	362	233	319	193	167	529	1402	3121	1738	762	606
1943	332	374	317	267	187	213	598	1920	2554	1097	835	595
1944	909	671	434	432	366	297	353	2743	2844	1353	668	516
1945	565	418	289	193	168	170	267	3027	2885	1404	892	600
1946	582	451	357	350	296	368	860	2437	3322	1520	981	910
1947	821	631	552	492	380	348	402	3649	3321	1265	986	1051
1948	864	706	493	240	210	256	445	2010	3037	2123	1046	862
1949	793	973	458	255	198	189	332	1921	4594	1440	903	671
1950	516	412	301	251	201	211	272	3555	3264	2183	887	451
1951	329	319	268	191	153	145	209	2503	3984	2571	928	681
1952	777	380	239	227	200	191	275	3392	3082	1779	960	703
1953	1114	886	311	202	244	241	261	2321	5501	2920	1481	977
1954	1025	892	546	294	227	204	254	1101	3886	3053	1132	559
1955	655	256	191	174	165	165	166	2001	3553	1990	746	631
1956	491	442	274	218	173	158	252	3725	3220	2192	2070	1128
1957	582	540	358	313	210	225	583	3026	3172	1112	534	571
1958	854	491	241	234	223	207	353	2325	4442	2344	936	1240
1959	845	565	449	289	255	249	573	2308	3869	2891	1303	901
1960	1109	702	316	301	288	261	610	3223	4238	1496	607	777
1961	955	594	239	255	216	212	487	1591	3841	2799	1616	849
1962	891	1039	492	246	326	266	679	2416	3431	2334	1048	845
1963	957	479	378	321	293	243	376	1744	6800	2916	1985	924
1964	1174	784	353	325	312	307	399	1702	3929	2184	885	710
1965	1103	643	277	257	249	233	489	2283	4038	2688	1267	1089
1966	786	551	357	306	258	204	260	2287	5267	1822	873	659
1967	1145	577	371	298	321	352	528	2798	4987	2076	947	808
1968	893	633	378	211	173	185	512	2181	2991	931	1000	1236
1969	842	607	430	244	219	221	374	1823	4014	1289	858	749
1970	611	323	202	196	190	184	383	2218	3822	1943	808	1055
1971	814	507	280	204	177	234	426	3183	5675	2286	1372	645
1972	654	463	363	269	255	259	395	2843	4165	2197	769	864
1973	585	283	347	207	218	269	607	2117	3835	3155	1525	852
1974	1396	547	423	307	266	254	298	1768	3104	1890	1130	568
1975	454	358	196	287	256	244	416	2848	4258	3397	1904	963
1976	766	535	400	291	265	245	667	2684	3365	2348	1122	736
1977	756	490	351	252	222	208	473	1483	2926	957	725	693
1978	855	631	356	266	227	232	338	2038	4027	2429	817	729
1979	599	282	206	208	179	168	505	1895	2258	1460	812	1107
1980	1028	783	427	498	356	325	515	3924	3666	1764	785	616
1981	554	565	352	289	234	243	261	1948	4467	2074	1125	978
1982	863	618	352	286	273	236	670	2189	3066	2245	1094	841
1983	626	597	299	350	257	273	583	1723	4235	2454	1233	1210
1984	1271	485	344	450	285	259	384	2273	3307	2207	753	872
1985	695	380	275	274	211	237	414	1710	4135	2399	786	500
1986	817	550	367	297	270	287	577	2840	4379	2209	1096	968
1987	824	709	427	320	312	310	788	3667	3743	2011	1114	590
1988	690	548	379	311	248	263	628	2920	2871	1346	887	574
1989	682	628	489	409	287	295	690	3184	5141	1575	588	430
1990	398	349	318	256	305	250	782	3222	2998	1500	736	966
1991	1133	781	473	432	301	491	1413	2636	4878	1435	501	918
1992	1379	668	372	290	272	250	715	3550	2410	1549	1117	619
1993	516	524	357	344	307	355	965	3140	3158	1811	879	1098
1994	855	530	360	306	283	286	717	3026	2463	1788	1050	664
1995	655	423	359	345	309	344	971	2122	5112	3548	1458	1110
1996	1079	557	411	348	328	323	773	3682	4815	2058	1175	956
1997	1161	741	398	344	348	380	702	3865	2072	1004	618	488
1998	852	462	354	337	324	346	875	2293	4844	2146	915	618
1999	510	495	382	328	229	213	467	1599	4043	2243	1177	1346

Q_river_hist_seq_columbia
	13	14	15	16	17	18	19	20	21	22	23	24
1940	958	378	278	227	206	333	967	1684	2474	2253	1593	998
1941	898	502	412	231	199	189	513	1737	2552	2736	1771	791
1942	521	271	227	166	175	173	803	1273	2216	2917	1638	747
1943	533	269	214	190	161	158	469	1565	2528	1772	1520	1075
1944	673	454	244	230	189	211	286	1672	2701	2160	1396	775
1945	428	285	210	193	180	221	616	2891	3687	2802	1626	928
1946	386	235	234	195	211	257	808	2385	3342	2806	1446	927
1947	847	457	286	219	180	182	455	2644	4392	2156	1869	1048
1948	655	391	238	197	196	199	702	2490	2303	1942	1556	834
1949	432	405	319	194	183	217	386	1399	3994	3612	1866	1059
1950	580	428	365	269	245	199	584	2514	2720	3150	1504	758
1951	593	312	227	195	191	183	732	2329	3025	2621	1664	811
1952	497	245	205	210	205	202	381	1900	3037	2712	1706	954
1953	735	576	355	249	267	246	337	2096	3407	4219	2274	1389
1954	657	667	420	293	244	210	378	1183	3695	3610	1734	891
1955	578	428	282	243	190	215	789	2538	3568	2774	1626	959
1956	656	369	283	213	205	215	504	3520	3212	2208	1353	894
1957	538	352	271	240	257	300	604	2956	3864	2230	1666	997
1958	794	412	323	280	226	251	623	2020	3843	3602	1780	1493
1959	914	583	389	276	270	318	764	1511	3242	3499	1729	1043
1960	779	511	306	269	284	277	524	2501	4247	2485	1848	848
1961	713	355	250	209	264	209	761	1767	3275	2889	2057	965
1962	674	544	383	268	332	307	678	1796	3289	2814	1867	1252
1963	624	404	290	247	204	201	398	1544	4058	3796	1961	1098
1964	988	557	303	272	238	230	723	1778	3329	2928	2288	769
1965	684	572	328	263	230	252	646	2243	3515	3356	1985	1121
1966	677	427	358	286	262	238	400	1768	5081	3667	2085	1316
1967	742	486	287	283	292	394	409	2017	3970	3786	2060	1367
1968	725	491	315	253	218	235	912	2517	3838	2303	1540	1002
1969	714	540	379	206	203	201	304	1384	3198	2166	1502	713
1970	443	296	225	218	268	194	519	2459	3465	2556	2040	862
1971	572	402	295	233	229	349	468	2531	5052	3444	2207	961
1972	610	355	265	236	216	256	436	1811	2644	2407	1541	745
1973	639	501	322	269	288	265	720	1643	4163	3466	2067	985
1974	468	317	260	248	178	153	359	1555	2999	3095	1581	888
1975	701	753	465	306	248	252	635	2469	2764	3739	3059	1793
1976	673	339	246	262	231	191	645	1589	2812	1951	1752	830
1977	395	310	251	226	198	300	711	1597	3038	2908	1664	1703
1978	822	548	319	257	208	275	459	1683	2757	2446	1517	959
1979	485	241	378	209	182	210	1029	2846	2669	2055	1255	920
1980	688	533	455	352	299	383	627	2590	2661	3126	2230	1097
1981	652	616	354	259	248	285	430	1741	4139	3154	1989	1403
1982	706	462	307	303	309	428	762	2030	2934	2920	1856	955
1983	506	637	301	295	253	306	622	1101	3202	2890	1896	1006
1984	544	338	208	169	181	216	662	2363	2763	2266	1273	687
1985	588	415	266	225	223	355	624	1959	3876	2568	1619	758
1986	458	289	227	231	234	387	756	2496	3123	2202	1291	896
1987	368	296	236	206	216	271	1008	2082	3139	2276	1569	875
1988	671	504	309	269	228	261	694	1876	3079	2217	1727	818
1989	493	550	320	282	256	320	1008	1891	3409	3149	1846	874
1990	509	752	431	324	403	276	804	2357	3205	3418	2305	995
1991	499	320	268	249	287	383	931	2197	3300	1952	1315	776
1992	739	424	282	248	192	248	547	2478	2105	1666	1449	753
1993	434	305	278	266	223	315	1108	2349	2828	2643	1614	911
1994	469	275	282	247	287	285	545	1913	3254	2397	1599	1036
1995	806	622	535	369	332	377	935	1759	3584	3632	1872	1021
