V00_hist_seq
	GMS	TY_total	TY_MCA		NT_BC
# initial for Oct, from AOP2018 HYSIM study
1940	459564	186727	95207	25136
1995	-256.4	-283.2	-283.2	-283.2	-269.0	-46.7	0.0	-157.4	0.0	0.0	157.4	-283.2
1996	-283.2	-166.2	-283.2	-283.2	-269.0	-29.2	0.0	-146.1	0.0	0.0	146.1	-283.2
1997	-283.2	-283.2	-283.2	-283.2	-122.2	0.0	0.7	0.0	0.0	0.0	0.0	-238.9
1998	-70.3	-283.2	-283.2	-283.2	-269.0	-3.1	0.0	0.0	0.0	0.0	0.0	-110.4
1999	-50.6	0.0	-9.9	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	-180.4


Q_NT_BC_max_hist_seq
	13	14	15	16	17	18	19	20	21	22	23	24
1940	283.2	283.2	184.7	110.6	283.2	283.2	0.7	0.0	0.0	205.8	180.4	283.2
1941	283.2	283.2	0.0	118.7	65.7	283.2	0.0	0.0	0.0	283.2	283.2	283.2
1942	283.2	283.2	101.6	115.3	241.1	283.2	0.7	0.0	0.0	283.2	273.6	283.2
1943	283.2	283.2	283.2	99.5	236.3	283.2	0.0	0.0	0.0	283.2	174.4	283.2
1944	283.2	283.2	283.2	283.2	283.2	283.2	50.5	0.0	0.0	283.2	212.7	283.2
1945	283.2	283.2	96.4	22.7	283.2	283.2	16.6	0.0	0.0	172.8	283.2	283.2
1946	283.2	283.2	0.0	17.9	141.2	283.2	0.0	0.0	0.0	126.2	283.2	283.2
1947	283.2	70.1	0.0	17.9	38.3	283.2	0.7	0.0	0.0	283.2	198.2	283.2
1948	283.2	283.2	208.7	97.4	252.7	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1949	283.2	283.2	264.2	17.9	176.3	283.2	0.7	0.0	0.0	58.6	199.6	283.2
1950	283.2	0.0	0.0	17.9	231.0	283.2	0.0	0.0	0.0	10.7	283.2	283.2
1951	283.2	283.2	0.0	17.9	283.2	283.2	0.0	0.0	0.0	110.3	234.7	283.2
1952	283.2	283.2	283.2	112.3	283.2	283.2	0.0	0.0	0.0	283.2	283.2	283.2
1953	283.2	283.2	0.0	17.9	0.0	283.2	0.0	0.0	0.0	0.0	28.2	283.2
1954	283.2	282.2	23.2	17.9	231.1	283.2	0.7	0.0	0.0	0.0	248.1	283.2
1955	283.2	0.0	0.0	17.9	24.6	283.2	0.0	0.0	0.0	143.0	283.2	283.2
1956	283.2	283.2	0.0	17.9	117.7	283.2	0.0	0.0	0.0	239.8	283.2	283.2
1957	283.2	283.2	283.2	17.9	0.0	283.2	0.0	0.0	0.0	283.2	281.7	283.2
1958	283.2	283.2	0.0	17.9	7.4	283.2	0.0	0.0	0.0	31.3	194.9	275.7
1959	283.2	0.0	0.0	17.9	190.8	283.2	0.0	0.0	0.0	0.0	210.3	283.2
1960	283.2	283.2	184.3	0.0	0.0	283.2	0.0	0.0	0.0	283.2	204.6	283.2
1961	283.2	283.2	283.2	17.9	283.2	283.2	0.7	0.0	0.0	147.4	146.5	283.2
1962	283.2	248.9	0.0	17.9	231.0	283.2	0.7	0.0	0.0	69.7	213.5	283.2
1963	283.2	283.2	195.6	17.9	94.6	283.2	0.7	0.0	0.0	0.0	174.1	283.2
1964	283.2	283.2	0.0	17.9	245.2	283.2	0.0	0.0	0.0	283.2	67.3	283.2
1965	283.2	283.2	154.2	17.9	92.5	283.2	0.0	0.0	0.0	18.4	146.2	283.2
1966	283.2	283.2	11.5	0.0	0.0	283.2	0.0	0.0	0.0	283.2	104.1	283.2
1967	283.2	283.2	16.6	17.9	0.0	283.2	0.0	0.0	0.0	6.7	113.8	283.2
1968	283.2	113.2	0.0	17.9	17.3	283.2	0.0	0.0	0.0	283.2	272.9	283.2
1969	283.2	283.2	283.2	122.7	191.4	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1970	283.2	283.2	283.2	17.9	231.1	283.2	0.0	0.0	0.0	177.9	146.2	283.2
1971	283.2	283.2	0.0	0.0	0.0	283.2	0.0	0.0	0.0	283.2	96.7	283.2
1972	283.2	283.2	10.6	123.1	173.8	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1973	283.2	283.2	0.0	17.9	40.5	283.2	0.0	0.0	0.0	135.8	139.4	283.2
1974	283.2	283.2	271.6	17.9	283.2	283.2	0.7	0.0	0.0	182.4	283.2	283.2
1975	283.2	0.0	0.0	17.9	102.5	283.2	0.0	0.0	0.0	0.0	0.0	125.7
1976	283.2	283.2	283.2	100.8	166.0	283.2	0.0	0.0	0.0	100.3	115.8	283.2
1977	283.2	283.2	0.0	283.2	283.2	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1978	283.2	283.2	283.2	101.8	209.6	283.2	0.7	0.0	0.0	260.0	283.2	283.2
1979	283.2	283.2	283.2	17.9	283.2	283.2	0.0	0.0	0.0	283.2	283.2	283.2
1980	283.2	283.2	0.0	17.9	39.7	283.2	0.0	0.0	0.0	0.0	65.8	283.2
1981	283.2	283.2	0.0	17.9	0.0	283.2	0.7	0.0	0.0	170.9	162.9	283.2
1982	283.2	283.2	0.0	17.9	211.8	283.2	0.0	0.0	0.0	106.8	177.9	283.2
1983	283.2	0.0	0.0	17.9	283.2	283.2	0.7	0.0	0.0	272.3	179.0	283.2
1984	283.2	283.2	29.7	17.9	283.2	283.2	0.0	0.0	0.0	165.6	283.2	283.2
1985	283.2	178.0	246.7	17.9	186.1	283.2	0.7	0.0	0.0	283.2	225.8	283.2
1986	283.2	283.2	82.0	17.9	282.6	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1987	283.2	283.2	283.2	175.2	283.2	283.2	0.7	0.0	0.0	190.1	149.7	283.2
1988	283.2	283.2	189.3	265.9	283.2	283.2	2.4	0.0	0.0	283.2	283.2	283.2
1989	283.2	283.2	176.5	17.9	0.0	283.2	0.0	0.0	0.0	49.5	186.4	283.2
1990	283.2	0.0	0.0	17.8	0.0	283.2	0.0	0.0	0.0	0.0	71.1	283.2
1991	283.2	283.2	283.2	17.9	283.2	283.2	0.7	0.0	0.0	283.2	210.5	283.2
1992	283.2	283.2	283.2	202.0	283.2	283.2	0.7	0.0	0.0	283.2	283.2	283.2
1993	283.2	283.2	283.2	103.2	283.2	283.2	0.0	0.0	0.0	223.9	218.9	263.5
1994	283.2	283.2	283.2	244.1	283.2	283.2	0.0	0.0	0.0	283.2	283.2	283.2
1995	283.2	0.0	0.0	17.9	0.0	283.2	0.0	0.0	0.0	0.0	157.3	283.2
1996	283.2	283.2	0.0	17.9	0.0	283.2	0.0	0.0	0.0	136.5	146.2	283.2
1997	283.2	54.5	0.0	17.9	261.6	283.2	0.7	0.0	0.0	276.6	283.2	283.2
1998	283.2	0.0	0.0	17.8	0.0	283.2	0.0	0.0	0.0	0.0	71.1	283.2
1999	283.2	283.2	283.2	175.2	283.2	283.2	0.7	0.0	0.0	190.1	149.7	283.2
 

price_multiplier_hist_seq_PEAK
	13	14	15	16	17	18	19	20	21	22	23	24
1940	1.0128	1.0045	0.9808	0.9439	0.9790	1.0895	1.0546	1.2770	1.4780	1.1096	1.0092	1.0538
1941	0.9929	0.9706	1.0236	1.0212	1.0143	1.0751	0.9361	1.0335	1.0578	1.0133	0.9936	1.0390
1942	1.0196	0.9896	1.0608	1.1075	1.0213	1.0150	0.6777	0.8897	0.8096	0.9564	0.9836	0.9945
1943	1.0159	0.9828	0.9850	0.9707	1.0072	1.3121	1.1741	1.3286	1.5670	1.1299	1.0091	1.0205
1944	1.0165	1.0425	0.9903	0.9529	0.9861	1.1067	1.1655	1.1728	1.2981	1.0683	1.0069	0.9908
1945	1.0243	1.0195	0.9802	0.9439	0.9684	0.8760	0.9539	0.9458	0.9064	0.9785	0.9951	0.9896
1946	1.0124	1.0561	1.0435	1.0837	1.0072	0.9323	1.0895	0.9580	0.9275	0.9834	0.9977	0.9871
1947	0.9897	1.0466	0.9967	0.9885	1.0707	0.8442	1.0352	0.7468	0.5631	0.8999	0.9857	1.0118
1948	1.0079	1.0154	1.0731	1.1521	1.1307	1.0216	1.0081	1.0257	1.0444	1.0102	1.0075	0.9957
1949	1.0171	0.9354	1.1510	1.2918	1.0319	0.8625	1.0109	0.8403	0.7244	0.9368	0.9810	1.0440
1950	1.0015	0.9625	1.0016	1.0064	1.0354	1.0622	0.8195	0.7937	0.6441	0.9184	0.9862	1.0032
1951	0.9927	1.0086	1.0087	1.0212	1.0072	0.9384	0.8105	0.9345	0.8869	0.9741	1.0014	0.9871
1952	1.0175	1.0493	0.9554	0.9082	0.9861	0.9698	1.0125	1.0297	1.0513	1.0118	0.9959	1.0168
1953	1.0071	0.9828	1.0390	1.0688	0.9720	1.1491	1.1504	0.8808	0.7943	0.9528	0.9714	1.0130
1954	1.0011	0.9666	0.9803	0.9588	1.0495	1.2396	1.0791	1.0316	1.0545	1.0125	0.9854	0.9896
1955	1.0055	1.0154	0.9999	0.9885	1.0778	0.7962	0.5253	0.7072	0.4948	0.8842	0.9946	0.9673
1956	1.0013	0.9571	1.0623	1.1342	1.0989	0.8979	0.9996	0.9556	0.9234	0.9824	1.0081	1.0130
1957	1.0081	1.0398	0.9542	0.9053	0.8767	0.9462	1.0321	1.0228	1.0394	1.0090	1.0102	0.9735
1958	1.0083	0.9978	0.9904	0.9737	1.0072	0.8250	1.1686	0.8681	0.7725	0.9478	0.9915	1.0118
1959	0.9559	0.9530	1.0006	1.0004	0.9825	1.0146	0.9308	0.9486	0.9112	0.9797	0.9976	0.9710
1960	1.0101	1.0235	0.9716	0.9350	0.9014	0.7544	1.1399	0.9812	0.9675	0.9926	1.0092	1.0341
1961	1.0128	1.0344	1.0025	1.0004	0.9720	1.1921	1.0900	1.0800	1.1380	1.0316	0.9956	1.0118
1962	1.0018	1.0045	1.0408	1.0688	0.9261	1.1229	0.9285	1.0558	1.0963	1.0221	1.0027	0.9624
1963	1.0135	1.0073	0.9795	0.9469	1.0390	1.0098	1.0844	1.0044	1.0075	1.0017	0.9931	1.0279
1964	0.9932	1.0439	1.0098	1.0123	0.9825	1.1023	0.8374	0.8036	0.6611	0.9223	0.9909	1.0514
1965	1.0026	1.0059	1.0031	1.0093	1.0249	1.1585	1.2537	1.1165	1.2011	1.0461	1.0040	1.0081
1966	1.0102	1.0005	0.9781	0.9410	0.9861	1.0545	0.8182	0.9699	0.9481	0.9881	0.9962	0.9871
1967	1.0022	0.9571	0.9910	0.9766	1.0143	0.9246	1.2466	1.0979	1.1690	1.0387	1.0025	1.0032
1968	0.9956	0.9991	1.0967	1.1759	1.0707	0.9684	0.6044	0.8971	0.8224	0.9593	1.0094	0.9920
1969	0.9974	0.9747	0.9980	0.9945	0.9861	1.1616	1.0432	1.0942	1.1626	1.0373	1.0071	1.0143
1970	0.9983	1.0032	1.0139	1.0123	1.0072	0.9677	0.7954	0.7941	0.6447	0.9186	0.9936	0.9871
1971	0.9966	1.0398	1.0291	1.0629	1.0319	0.6118	0.7936	0.7043	0.4897	0.8830	0.9856	1.0192
1972	0.9932	1.0330	1.0089	1.0272	1.0072	1.2312	1.1338	1.2463	1.4250	1.0974	1.0072	1.0402
1973	0.9999	1.0398	1.0242	1.0212	0.9790	0.7503	0.7078	0.7370	0.5462	0.8960	0.9910	0.9871
1974	0.9869	0.9978	1.0026	1.0123	1.0601	1.1028	0.7248	0.9913	0.9850	0.9966	1.0060	0.9920
1975	0.9953	1.0127	0.9792	0.9499	1.0037	1.0624	0.7082	0.8246	0.6973	0.9306	0.9683	1.0130
1976	0.9791	0.9449	1.0123	1.0212	0.9367	1.2970	1.3319	1.3250	1.5608	1.1285	1.0212	1.0130
1977	1.0112	0.9557	1.0010	0.9707	0.9649	0.9627	0.8540	1.0740	1.1276	1.0293	1.0089	0.9883
1978	0.9875	1.0384	1.0570	1.0985	1.0178	1.1353	1.0951	1.1644	1.2836	1.0650	1.0147	0.9451
1979	1.0019	1.0140	1.0541	1.0867	0.9437	1.1329	1.1981	1.1313	1.2266	1.0519	1.0114	1.0130
1980	1.0037	0.9801	0.9702	0.9231	0.9790	0.9020	1.2261	0.9893	0.9816	0.9958	0.9932	0.9896
1981	0.9908	0.9842	1.0143	1.0183	0.9966	0.9081	0.7697	0.7813	0.6227	0.9135	0.9934	0.9933
1982	0.9884	1.0222	0.9471	0.8993	0.9332	0.7045	0.6995	0.8428	0.7288	0.9378	0.9913	0.9512
1983	0.9957	1.0073	0.9782	0.9558	0.9332	0.7261	0.8345	0.8685	0.7731	0.9480	1.0021	0.9191
1984	0.9874	1.0344	1.0284	1.0539	1.0460	1.2202	1.1307	1.1013	1.1749	1.0401	1.0201	1.0328
1985	0.9885	1.0371	0.9636	0.9112	1.0495	0.8371	0.8846	0.9760	0.9586	0.9905	1.0078	1.0637
1986	0.9906	0.9639	0.9810	0.9529	0.9402	1.0277	1.3507	1.2015	1.3477	1.0797	1.0155	0.9957
1987	0.9911	1.0073	1.0092	0.9945	0.9543	1.1631	1.2451	1.2480	1.4279	1.0981	1.0177	1.0130
1988	0.9996	1.0086	1.0013	0.9766	1.1518	1.1424	1.2553	1.1471	1.2539	1.0582	1.0206	1.0007
1989	0.9964	0.9612	0.9859	0.9529	1.0954	1.0812	1.0876	1.0414	1.0715	1.0164	1.0011	0.9871
1990	0.9984	0.9815	1.0277	1.0421	0.9085	1.0379	0.9336	0.9089	0.8429	0.9640	0.9924	0.9945
1991	0.9907	0.9706	0.9602	0.9142	0.9261	1.0230	1.3921	1.2096	1.3616	1.0829	1.0156	0.9772
1992	1.0109	0.9883	1.0766	1.1283	1.0778	1.0460	1.3024	1.1506	1.2598	1.0595	1.0097	0.9957
1993	1.0056	0.9896	0.9540	0.8904	1.0178	1.1368	1.2154	1.2635	1.4547	1.1042	1.0219	0.9846
1994	1.0122	1.0655	0.9989	0.9737	0.9755	0.9925	1.0815	1.0905	1.1562	1.0358	1.0017	0.9710
1995	0.9908	0.9503	1.0028	0.9915	1.0354	0.7352	0.8811	0.6674	0.4260	0.8684	0.9863	0.9982
1996	0.9875	0.9801	0.9783	0.9647	0.9790	0.6302	0.7731	0.6068	0.3215	0.8445	0.9799	0.9413
1997	0.9613	0.9666	0.9708	0.9558	0.8979	0.8017	1.0244	0.9540	0.9206	0.9818	0.9989	1.0069
1998	1.0042	1.0059	0.9676	0.9261	0.9508	0.8359	0.7357	0.8492	0.7398	0.9404	0.9754	1.0168
1999	0.9884	0.9801	0.9904	0.9796	0.9896	0.9331	0.9593	0.9993	0.9988	0.9997	1.0012	0.9920

price_multiplier_hist_seq_HLH1
	13	14	15	16	17	18	19	20	21	22	23	24
1940	1.0128	1.0045	0.9808	0.9439	0.9790	1.0895	1.0546	1.2770	1.4780	1.1096	1.0092	1.0538
1941	0.9929	0.9706	1.0236	1.0212	1.0143	1.0751	0.9361	1.0335	1.0578	1.0133	0.9936	1.0390
1942	1.0196	0.9896	1.0608	1.1075	1.0213	1.0150	0.6777	0.8897	0.8096	0.9564	0.9836	0.9945
1943	1.0159	0.9828	0.9850	0.9707	1.0072	1.3121	1.1741	1.3286	1.5670	1.1299	1.0091	1.0205
1944	1.0165	1.0425	0.9903	0.9529	0.9861	1.1067	1.1655	1.1728	1.2981	1.0683	1.0069	0.9908
1945	1.0243	1.0195	0.9802	0.9439	0.9684	0.8760	0.9539	0.9458	0.9064	0.9785	0.9951	0.9896
1946	1.0124	1.0561	1.0435	1.0837	1.0072	0.9323	1.0895	0.9580	0.9275	0.9834	0.9977	0.9871
1947	0.9897	1.0466	0.9967	0.9885	1.0707	0.8442	1.0352	0.7468	0.5631	0.8999	0.9857	1.0118
1948	1.0079	1.0154	1.0731	1.1521	1.1307	1.0216	1.0081	1.0257	1.0444	1.0102	1.0075	0.9957
1949	1.0171	0.9354	1.1510	1.2918	1.0319	0.8625	1.0109	0.8403	0.7244	0.9368	0.9810	1.0440
1950	1.0015	0.9625	1.0016	1.0064	1.0354	1.0622	0.8195	0.7937	0.6441	0.9184	0.9862	1.0032
1951	0.9927	1.0086	1.0087	1.0212	1.0072	0.9384	0.8105	0.9345	0.8869	0.9741	1.0014	0.9871
1952	1.0175	1.0493	0.9554	0.9082	0.9861	0.9698	1.0125	1.0297	1.0513	1.0118	0.9959	1.0168
1953	1.0071	0.9828	1.0390	1.0688	0.9720	1.1491	1.1504	0.8808	0.7943	0.9528	0.9714	1.0130
1954	1.0011	0.9666	0.9803	0.9588	1.0495	1.2396	1.0791	1.0316	1.0545	1.0125	0.9854	0.9896
1955	1.0055	1.0154	0.9999	0.9885	1.0778	0.7962	0.5253	0.7072	0.4948	0.8842	0.9946	0.9673
1956	1.0013	0.9571	1.0623	1.1342	1.0989	0.8979	0.9996	0.9556	0.9234	0.9824	1.0081	1.0130
1957	1.0081	1.0398	0.9542	0.9053	0.8767	0.9462	1.0321	1.0228	1.0394	1.0090	1.0102	0.9735
1958	1.0083	0.9978	0.9904	0.9737	1.0072	0.8250	1.1686	0.8681	0.7725	0.9478	0.9915	1.0118
1959	0.9559	0.9530	1.0006	1.0004	0.9825	1.0146	0.9308	0.9486	0.9112	0.9797	0.9976	0.9710
1960	1.0101	1.0235	0.9716	0.9350	0.9014	0.7544	1.1399	0.9812	0.9675	0.9926	1.0092	1.0341
1961	1.0128	1.0344	1.0025	1.0004	0.9720	1.1921	1.0900	1.0800	1.1380	1.0316	0.9956	1.0118
1962	1.0018	1.0045	1.0408	1.0688	0.9261	1.1229	0.9285	1.0558	1.0963	1.0221	1.0027	0.9624
1963	1.0135	1.0073	0.9795	0.9469	1.0390	1.0098	1.0844	1.0044	1.0075	1.0017	0.9931	1.0279
1964	0.9932	1.0439	1.0098	1.0123	0.9825	1.1023	0.8374	0.8036	0.6611	0.9223	0.9909	1.0514
1965	1.0026	1.0059	1.0031	1.0093	1.0249	1.1585	1.2537	1.1165	1.2011	1.0461	1.0040	1.0081
1966	1.0102	1.0005	0.9781	0.9410	0.9861	1.0545	0.8182	0.9699	0.9481	0.9881	0.9962	0.9871
1967	1.0022	0.9571	0.9910	0.9766	1.0143	0.9246	1.2466	1.0979	1.1690	1.0387	1.0025	1.0032
1968	0.9956	0.9991	1.0967	1.1759	1.0707	0.9684	0.6044	0.8971	0.8224	0.9593	1.0094	0.9920
1969	0.9974	0.9747	0.9980	0.9945	0.9861	1.1616	1.0432	1.0942	1.1626	1.0373	1.0071	1.0143
1970	0.9983	1.0032	1.0139	1.0123	1.0072	0.9677	0.7954	0.7941	0.6447	0.9186	0.9936	0.9871
1971	0.9966	1.0398	1.0291	1.0629	1.0319	0.6118	0.7936	0.7043	0.4897	0.8830	0.9856	1.0192
1972	0.9932	1.0330	1.0089	1.0272	1.0072	1.2312	1.1338	1.2463	1.4250	1.0974	1.0072	1.0402
1973	0.9999	1.0398	1.0242	1.0212	0.9790	0.7503	0.7078	0.7370	0.5462	0.8960	0.9910	0.9871
1974	0.9869	0.9978	1.0026	1.0123	1.0601	1.1028	0.7248	0.9913	0.9850	0.9966	1.0060	0.9920
1975	0.9953	1.0127	0.9792	0.9499	1.0037	1.0624	0.7082	0.8246	0.6973	0.9306	0.9683	1.0130
1976	0.9791	0.9449	1.0123	1.0212	0.9367	1.2970	1.3319	1.3250	1.5608	1.1285	1.0212	1.0130
1977	1.0112	0.9557	1.0010	0.9707	0.9649	0.9627	0.8540	1.0740	1.1276	1.0293	1.0089	0.9883
1978	0.9875	1.0384	1.0570	1.0985	1.0178	1.1353	1.0951	1.1644	1.2836	1.0650	1.0147	0.9451
1979	1.0019	1.0140	1.0541	1.0867	0.9437	1.1329	1.1981	1.1313	1.2266	1.0519	1.0114	1.0130
1980	1.0037	0.9801	0.9702	0.9231	0.9790	0.9020	1.2261	0.9893	0.9816	0.9958	0.9932	0.9896
1981	0.9908	0.9842	1.0143	1.0183	0.9966	0.9081	0.7697	0.7813	0.6227	0.9135	0.9934	0.9933
1982	0.9884	1.0222	0.9471	0.8993	0.9332	0.7045	0.6995	0.8428	0.7288	0.9378	0.9913	0.9512
1983	0.9957	1.0073	0.9782	0.9558	0.9332	0.7261	0.8345	0.8685	0.7731	0.9480	1.0021	0.9191
1984	0.9874	1.0344	1.0284	1.0539	1.0460	1.2202	1.1307	1.1013	1.1749	1.0401	1.0201	1.0328
1985	0.9885	1.0371	0.9636	0.9112	1.0495	0.8371	0.8846	0.9760	0.9586	0.9905	1.0078	1.0637
1986	0.9906	0.9639	0.9810	0.9529	0.9402	1.0277	1.3507	1.2015	1.3477	1.0797	1.0155	0.9957
1987	0.9911	1.0073	1.0092	0.9945	0.9543	1.1631	1.2451	1.2480	1.4279	1.0981	1.0177	1.0130
1988	0.9996	1.0086	1.0013	0.9766	1.1518	1.1424	1.2553	1.1471	1.2539	1.0582	1.0206	1.0007
1989	0.9964	0.9612	0.9859	0.9529	1.0954	1.0812	1.0876	1.0414	1.0715	1.0164	1.0011	0.9871
1990	0.9984	0.9815	1.0277	1.0421	0.9085	1.0379	0.9336	0.9089	0.8429	0.9640	0.9924	0.9945
1991	0.9907	0.9706	0.9602	0.9142	0.9261	1.0230	1.3921	1.2096	1.3616	1.0829	1.0156	0.9772
1992	1.0109	0.9883	1.0766	1.1283	1.0778	1.0460	1.3024	1.1506	1.2598	1.0595	1.0097	0.9957
1993	1.0056	0.9896	0.9540	0.8904	1.0178	1.1368	1.2154	1.2635	1.4547	1.1042	1.0219	0.9846
1994	1.0122	1.0655	0.9989	0.9737	0.9755	0.9925	1.0815	1.0905	1.1562	1.0358	1.0017	0.9710
1995	0.9908	0.9503	1.0028	0.9915	1.0354	0.7352	0.8811	0.6674	0.4260	0.8684	0.9863	0.9982
1996	0.9875	0.9801	0.9783	0.9647	0.9790	0.6302	0.7731	0.6068	0.3215	0.8445	0.9799	0.9413
1997	0.9613	0.9666	0.9708	0.9558	0.8979	0.8017	1.0244	0.9540	0.9206	0.9818	0.9989	1.0069
1998	1.0042	1.0059	0.9676	0.9261	0.9508	0.8359	0.7357	0.8492	0.7398	0.9404	0.9754	1.0168
1999	0.9884	0.9801	0.9904	0.9796	0.9896	0.9331	0.9593	0.9993	0.9988	0.9997	1.0012	0.9920

price_multiplier_hist_seq_HLH2
	13	14	15	16	17	18	19	20	21	22	23	24
1940	1.0128	1.0045	0.9808	0.9439	0.9790	1.0895	1.0546	1.2770	1.4780	1.1096	1.0092	1.0538
1941	0.9929	0.9706	1.0236	1.0212	1.0143	1.0751	0.9361	1.0335	1.0578	1.0133	0.9936	1.0390
1942	1.0196	0.9896	1.0608	1.1075	1.0213	1.0150	0.6777	0.8897	0.8096	0.9564	0.9836	0.9945
1943	1.0159	0.9828	0.9850	0.9707	1.0072	1.3121	1.1741	1.3286	1.5670	1.1299	1.0091	1.0205
1944	1.0165	1.0425	0.9903	0.9529	0.9861	1.1067	1.1655	1.1728	1.2981	1.0683	1.0069	0.9908
1945	1.0243	1.0195	0.9802	0.9439	0.9684	0.8760	0.9539	0.9458	0.9064	0.9785	0.9951	0.9896
1946	1.0124	1.0561	1.0435	1.0837	1.0072	0.9323	1.0895	0.9580	0.9275	0.9834	0.9977	0.9871
1947	0.9897	1.0466	0.9967	0.9885	1.0707	0.8442	1.0352	0.7468	0.5631	0.8999	0.9857	1.0118
1948	1.0079	1.0154	1.0731	1.1521	1.1307	1.0216	1.0081	1.0257	1.0444	1.0102	1.0075	0.9957
1949	1.0171	0.9354	1.1510	1.2918	1.0319	0.8625	1.0109	0.8403	0.7244	0.9368	0.9810	1.0440
1950	1.0015	0.9625	1.0016	1.0064	1.0354	1.0622	0.8195	0.7937	0.6441	0.9184	0.9862	1.0032
1951	0.9927	1.0086	1.0087	1.0212	1.0072	0.9384	0.8105	0.9345	0.8869	0.9741	1.0014	0.9871
1952	1.0175	1.0493	0.9554	0.9082	0.9861	0.9698	1.0125	1.0297	1.0513	1.0118	0.9959	1.0168
1953	1.0071	0.9828	1.0390	1.0688	0.9720	1.1491	1.1504	0.8808	0.7943	0.9528	0.9714	1.0130
1954	1.0011	0.9666	0.9803	0.9588	1.0495	1.2396	1.0791	1.0316	1.0545	1.0125	0.9854	0.9896
1955	1.0055	1.0154	0.9999	0.9885	1.0778	0.7962	0.5253	0.7072	0.4948	0.8842	0.9946	0.9673
1956	1.0013	0.9571	1.0623	1.1342	1.0989	0.8979	0.9996	0.9556	0.9234	0.9824	1.0081	1.0130
1957	1.0081	1.0398	0.9542	0.9053	0.8767	0.9462	1.0321	1.0228	1.0394	1.0090	1.0102	0.9735
1958	1.0083	0.9978	0.9904	0.9737	1.0072	0.8250	1.1686	0.8681	0.7725	0.9478	0.9915	1.0118
1959	0.9559	0.9530	1.0006	1.0004	0.9825	1.0146	0.9308	0.9486	0.9112	0.9797	0.9976	0.9710
1960	1.0101	1.0235	0.9716	0.9350	0.9014	0.7544	1.1399	0.9812	0.9675	0.9926	1.0092	1.0341
1961	1.0128	1.0344	1.0025	1.0004	0.9720	1.1921	1.0900	1.0800	1.1380	1.0316	0.9956	1.0118
1962	1.0018	1.0045	1.0408	1.0688	0.9261	1.1229	0.9285	1.0558	1.0963	1.0221	1.0027	0.9624
1963	1.0135	1.0073	0.9795	0.9469	1.0390	1.0098	1.0844	1.0044	1.0075	1.0017	0.9931	1.0279
1964	0.9932	1.0439	1.0098	1.0123	0.9825	1.1023	0.8374	0.8036	0.6611	0.9223	0.9909	1.0514
1965	1.0026	1.0059	1.0031	1.0093	1.0249	1.1585	1.2537	1.1165	1.2011	1.0461	1.0040	1.0081
1966	1.0102	1.0005	0.9781	0.9410	0.9861	1.0545	0.8182	0.9699	0.9481	0.9881	0.9962	0.9871
1967	1.0022	0.9571	0.9910	0.9766	1.0143	0.9246	1.2466	1.0979	1.1690	1.0387	1.0025	1.0032
1968	0.9956	0.9991	1.0967	1.1759	1.0707	0.9684	0.6044	0.8971	0.8224	0.9593	1.0094	0.9920
1969	0.9974	0.9747	0.9980	0.9945	0.9861	1.1616	1.0432	1.0942	1.1626	1.0373	1.0071	1.0143
1970	0.9983	1.0032	1.0139	1.0123	1.0072	0.9677	0.7954	0.7941	0.6447	0.9186	0.9936	0.9871
1971	0.9966	1.0398	1.0291	1.0629	1.0319	0.6118	0.7936	0.7043	0.4897	0.8830	0.9856	1.0192
1972	0.9932	1.0330	1.0089	1.0272	1.0072	1.2312	1.1338	1.2463	1.4250	1.0974	1.0072	1.0402
1973	0.9999	1.0398	1.0242	1.0212	0.9790	0.7503	0.7078	0.7370	0.5462	0.8960	0.9910	0.9871
1974	0.9869	0.9978	1.0026	1.0123	1.0601	1.1028	0.7248	0.9913	0.9850	0.9966	1.0060	0.9920
1975	0.9953	1.0127	0.9792	0.9499	1.0037	1.0624	0.7082	0.8246	0.6973	0.9306	0.9683	1.0130
1976	0.9791	0.9449	1.0123	1.0212	0.9367	1.2970	1.3319	1.3250	1.5608	1.1285	1.0212	1.0130
1977	1.0112	0.9557	1.0010	0.9707	0.9649	0.9627	0.8540	1.0740	1.1276	1.0293	1.0089	0.9883
1978	0.9875	1.0384	1.0570	1.0985	1.0178	1.1353	1.0951	1.1644	1.2836	1.0650	1.0147	0.9451
1979	1.0019	1.0140	1.0541	1.0867	0.9437	1.1329	1.1981	1.1313	1.2266	1.0519	1.0114	1.0130
1980	1.0037	0.9801	0.9702	0.9231	0.9790	0.9020	1.2261	0.9893	0.9816	0.9958	0.9932	0.9896
1981	0.9908	0.9842	1.0143	1.0183	0.9966	0.9081	0.7697	0.7813	0.6227	0.9135	0.9934	0.9933
1982	0.9884	1.0222	0.9471	0.8993	0.9332	0.7045	0.6995	0.8428	0.7288	0.9378	0.9913	0.9512
1983	0.9957	1.0073	0.9782	0.9558	0.9332	0.7261	0.8345	0.8685	0.7731	0.9480	1.0021	0.9191
1984	0.9874	1.0344	1.0284	1.0539	1.0460	1.2202	1.1307	1.1013	1.1749	1.0401	1.0201	1.0328
